,City,Purchase Power,Health Care,Pollution,QoL_H,Crime Rating,Unesco,lat,lng,Country
35,Cambridge,56.6046566046566,80.72674031678424,61.869725167712616,76.97219828471908,17.851416354890432,0.0,42.373615799999996,-71.10973349999998,United States
36,Noida,60.25506025506026,47.264741115399985,96.40770396018176,27.4689143396539,85.70283270978086,27.27272727272727,28.535516100000002,77.3910265,India
37,Gurgaon,35.91903591903592,75.00332756555306,30.05842891149102,27.508795834640228,73.02244788882952,27.27272727272727,28.459496500000004,77.02663829999999,India
38,Delhi,32.77173277173277,72.08838014108878,79.01969270720623,27.32648042898845,55.71886691608765,27.27272727272727,28.7040592,77.10249019999998,India
39,Bangalore,37.77933777933778,64.6213230400639,87.57844622376109,32.83012673710148,53.674505611972215,0.0,12.9715987,77.5945627,India
40,Kolkata,26.231426231426237,13.9225342739252,78.54360528024237,17.749224275843506,43.385889898450024,9.090909090909092,22.572646,88.36389500000001,India
41,Pune,36.94863694863695,60.9476906695062,85.73901752867344,28.118412972288358,40.766969535008016,0.0,18.5204303,73.85674370000001,India
42,Hyderabad,39.25353925353925,57.31398908558499,97.07855442544904,34.45957067511424,34.79422768572956,0.0,17.385044,78.486671,India
43,Mumbai,26.266526266526263,50.019965393318245,76.27136983336939,18.19931543354633,31.761090326028864,27.27272727272727,19.0759837,72.87765590000001,India
44,Chennai,31.040131040131037,62.10568348196459,84.47305777970135,28.146899754421447,29.877071084981292,9.090909090909092,13.0826802,80.2707184,India
45,Vadodara,35.088335088335086,75.92173565819247,100.0,34.46526803154086,28.2870122928915,9.090909090909092,22.307158800000003,73.1812187,India
46,Ahmedabad,31.95273195273195,54.35911087448424,73.80437134819302,35.62183138614432,9.780865847140568,9.090909090909092,23.022505,72.57136209999999,India
47,Indore,34.40973440973441,13.989085584986027,64.29344297771046,30.79047313637222,8.110636023516836,0.0,22.7195687,75.8577258,India
48,Kochi,26.442026442026446,65.75269532809797,77.66717160787708,28.853371951322085,8.110636023516836,0.0,9.9312328,76.26730409999998,India
49,Karachi,9.652509652509652,40.915746040197,75.34083531703094,32.81235593580163,84.84767504008552,9.090909090909092,24.8607343,67.0011364,Pakistan
50,Lahore,7.101907101907101,37.415147078397446,33.055615667604414,38.521107075272916,54.94388027792624,9.090909090909092,31.5203696,74.35874729999998,Pakistan
51,Hyderabad,39.25353925353925,57.31398908558499,97.07855442544904,53.590614823677654,34.79422768572956,0.0,17.385044,78.486671,Pakistan
52,Rotterdam,52.08845208845209,56.47544256621856,22.029863665873187,82.31513948235795,84.72741849278461,72.72727272727273,51.9244201,4.4777325999999995,Netherlands
53,The Hague,72.42307242307243,61.10741381605218,40.26184808483012,89.27730903568522,25.253874933190808,63.63636363636363,52.07049779999999,4.300699900000001,Netherlands
54,Amsterdam,47.73604773604773,62.864368428058036,57.80134170093053,85.20939654707993,25.253874933190808,72.72727272727273,52.3675734,4.9041389,Netherlands
